Row #,Time,Latitude,Longitude,Altitude,Number of Satellites,Start time,Distance,Azimuth,Elevation angle,Pressure,Temperature,Humidity,Battery voltage,T_int,T_pr,T_u,Length of XDATA packet,XDATA#,12#,23#,34#,45#,123#,234#,345#,1234#,2345#,12345#
1,'2016-01-24T14:45:46+08:00',25.014558792114258,121.53910827636719,35,9,6:46:27,0.0513736638670977,129.44486249489174,25.948974816072983,1032.87,4.7,72.24,5.0,30.52,32.31,4.7,50,2902,1,0,0,0,0,0,0,0,0,0
2,'2016-01-24T14:45:46+08:00',25.014558792114258,121.53910827636719,36,9,6:46:28,0.0513736638670977,129.44486249489174,26.843784215678152,1032.9,4.74,72.14,5.0,30.49,32.29,4.74,50,2903,1,0,0,0,0,0,0,1,0,1
3,'2016-01-24T14:45:47+08:00',25.014556884765625,121.53910827636719,36,9,6:46:29,0.05150882215949651,129.62724774870725,26.783178561423977,1032.93,4.66,72.2,5.0,30.52,32.3,4.66,50,2904,0,0,0,0,0,0,0,0,0,0
4,'2016-01-24T14:45:47+08:00',25.014556884765625,121.53910827636719,36,9,6:46:30,0.05150882215949651,129.62724774870725,26.783178561423977,1032.88,4.76,72.09,5.0,30.49,32.3,4.76,50,2905,0,1,0,0,0,0,0,0,0,0
5,'2016-01-24T14:45:47+08:00',25.01456069946289,121.53910827636719,36,9,6:46:32,0.051239028883056106,129.26151690971435,26.904408140006485,1032.79,4.8,72.4,5.0,30.48,32.29,4.8,50,2906,1,0,0,0,0,0,0,0,0,0
6,'2016-01-24T14:45:47+08:00',25.014562606811523,121.53910827636719,35,9,6:46:33,0.05110492134263255,129.07720717188514,26.06740306807713,1032.73,4.72,72.29,5.0,30.51,32.29,4.72,50,2907,0,0,0,0,0,0,0,0,0,0
7,'2016-01-24T14:45:47+08:00',25.014562606811523,121.53910827636719,35,8,6:46:33,0.05110492134263255,129.07720717188514,26.06740306807713,1032.78,4.8,72.37,5.0,30.48,32.29,4.8,50,2908,0,0,0,0,0,0,0,0,0,0
8,'2016-01-24T14:45:47+08:00',25.014564514160156,121.53910827636719,35,8,6:46:34,0.05097134540944861,128.8919295015889,26.126641482933174,1032.82,4.85,72.08,5.0,30.49,32.29,4.85,50,2909,0,0,0,0,0,0,0,0,0,0
9,'2016-01-24T14:45:48+08:00',25.014564514160156,121.53910827636719,35,8,6:46:35,0.05097134540944861,128.8919295015889,26.126641482933174,1032.81,4.76,71.2,5.0,30.48,32.29,4.76,50,2910,0,0,0,0,0,0,0,0,0,0
10,'2016-01-24T14:45:48+08:00',25.01456642150879,121.53910827636719,34,8,6:46:36,0.05083830527317613,128.7056801582127,25.271291960555644,1032.78,4.72,71.32,5.0,30.5,32.29,4.72,50,2911,0,2,0,0,0,0,0,0,0,0
11,'2016-01-24T14:45:49+08:00',25.014564514160156,121.53910827636719,35,8,6:46:37,0.05097134540944861,128.8919295015889,26.126641482933174,1032.72,4.69,70.78,5.0,30.48,32.28,4.69,50,2912,0,0,0,0,0,0,0,0,0,0
